"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","type","longitude","latitude","date","time","time.out","site","location","status","depth","observer","maxn.complete.yyyymmdd","maxn.checker","successful.count","successful.length","left.cam","right.cam","rear.cam","video.notes","raw.hd","con.hd","forward.habitat.image.saved","backward.habitat.image.saved","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","34.082","Balistidae","Abalistes","stellatus",NA,1,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","15.04267","Carangidae","Carangoides","chrysophrys",NA,1,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","24.48267","Carangidae","Decapterus","spp",NA,2,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","30.54067","Carangidae","Gnathanodon","speciosus",NA,2,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","26.232","Carcharhinidae",NA,"sp10",NA,1,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","0.018","Labridae","Coris","caudimacula",NA,1,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","11.81667","Nemipteridae","Pentapodus","nagasakiensis",NA,9,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","4.134","Pinguipedidae","Parapercis","nebulosa",NA,2,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","23.63667","Sparidae","Argyrops","spinifer",NA,1,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
"2019-08-Ningaloo_stereo-BRUVS","1.01","1.01_L373.avi","1","54.28267","Synodontidae","Saurida","undosquamis",NA,2,"new",113.5404917,-22.84786205,12082019,"09:23:00","10:33:00",1,"Ningaloo Marine Park",NA,"?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.",1,"1","Yes","Yes",20200304,"Charlotte Aston",20191202,"Two lat and lons in file given by CSIRO"
