"campaignid","sample","family","genus","species","length","number","range"
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Labridae","Coris","caudimacula",60.32225,1,1252.18427
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Pinguipedidae","Parapercis","nebulosa",119.44867,1,3114.31732
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Pinguipedidae","Parapercis","nebulosa",65.15812,1,3187.04998
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Nemipteridae","Pentapodus","nagasakiensis",62.92525,1,2932.18663
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Nemipteridae","Pentapodus","nagasakiensis",48.98342,1,3475.24017
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Nemipteridae","Pentapodus","nagasakiensis",47.72524,1,2690.45092
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Nemipteridae","Pentapodus","nagasakiensis",72.02381,1,2613.11607
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Nemipteridae","Pentapodus","nagasakiensis",68.8576,1,2692.6673
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Nemipteridae","Pentapodus","nagasakiensis",60.03917,1,2814.72281
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Nemipteridae","Pentapodus","nagasakiensis",40.72928,1,2570.47128
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Carangidae","Carangoides","chrysophrys",619.21661,1,4988.00934
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Carangidae","Decapterus","spp",329.9371,1,2650.3647
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Carangidae","Gnathanodon","speciosus",405.07652,1,4895.56544
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Balistidae","Abalistes","stellatus",303.99529,1,3649.3823
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Tetraodontidae","Lagocephalus","sceleratus",590.07547,1,2350.82963
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Sparidae","Argyrops","spinifer",290.53383,1,1755.05893
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Tetraodontidae","Lagocephalus","sceleratus",569.79005,1,3410.77964
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Synodontidae","Saurida","undosquamis",373.09115,1,1800.1955
"2019-08_Ningaloo_stereo-BRUVs",1.01,"Synodontidae","Saurida","undosquamis",356.29484,1,3311.0896
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Microdesmidae","Gunnellichthys","monostigma",61.5469,1,1747.55284
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Synodontidae","Saurida","undosquamis",407.51415,1,2873.11773
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Lethrinidae","Gymnocranius","grandoculis",392.78384,1,2076.28049
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Lethrinidae","Gymnocranius","grandoculis",350.85673,1,2134.89692
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Carangidae","Carangoides","chrysophrys",408.34856,1,1926.36764
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Carangidae","Carangoides","chrysophrys",362.28865,1,1896.98773
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",201.79458,1,3893.19901
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",283.4247,1,1640.8325
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",280.95295,1,1355.79571
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",303.78851,1,1047.88938
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Sparidae","Argyrops","spinifer",281.54962,1,1755.08689
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Lutjanidae","Pristipomoides","multidens",463.4905,1,1082.30044
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Lutjanidae","Pristipomoides","multidens",543.769,1,1711.45622
"2019-08_Ningaloo_stereo-BRUVs",1.02,"Lutjanidae","Pristipomoides","multidens",493.37999,1,2644.96922
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","miniatus",463.54905,1,1616.76582
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","miniatus",409.21426,1,2071.95791
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","miniatus",481.64403,1,2762.40322
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Echeneidae","Echeneis","naucrates",215.98898,1,2447.95299
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Lutjanidae","Pristipomoides","filamentosus",597.91033,1,1844.15232
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Decapterus","spp",468.83121,1,2594.6651
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Gymnocranius","grandoculis",370.06287,1,2145.52476
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","rubrioperculatus",330.96619,1,2831.22709
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Lethrinidae","Lethrinus","rubrioperculatus",365.24805,1,2397.9728
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Mullidae","Parupeneus","spilurus",348.78358,1,4285.08894
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Carangoides","chrysophrys",405.91273,1,2563.73996
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Seriola","dumerili",348.14867,1,2363.25835
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Seriola","rivoliana",323.03361,1,2529.45731
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Carangidae","Seriola","rivoliana",313.12212,1,2088.37183
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Lutjanidae","Pristipomoides","multidens",395.52297,1,5988.04826
"2019-08_Ningaloo_stereo-BRUVs",1.03,"Balistidae","Abalistes","filamentosus",315.71629,1,3285.09546
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Balistidae","Abalistes","filamentosus",274.45492,1,3029.31809
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Carangidae","Carangoides","chrysophrys",531.56468,1,3003.06869
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",384.75167,1,3150.32337
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",412.50797,1,1768.78784
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",476.57136,1,1491.07931
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",438.88164,1,1037.84213
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",406.97045,1,2619.87331
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",338.31223,1,4216.75883
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",419.99215,1,1769.96046
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lutjanidae","Pristipomoides","multidens",435.68743,1,2205.43934
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Triakidae","Mustelus","ravidus",543.1618,1,3634.14793
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",325.46813,1,1418.3152
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",314.9653,1,1385.41743
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","rubrioperculatus",313.35848,1,1397.73568
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Labridae","Bodianus","solatus",338.18597,1,2875.42512
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Labridae","Bodianus","solatus",348.61944,1,2966.85737
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","miniatus",460.69206,1,1446.80628
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Lethrinus","miniatus",480.8525,1,1363.45213
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Serranidae","Epinephelus","areolatus",349.05188,1,1327.20669
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Serranidae","Epinephelus","areolatus",333.92966,1,1074.42705
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Mullidae","Parupeneus","spilurus",342.413,1,3155.0962
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Gymnocranius","grandoculis",340.49631,1,4382.8022
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Lethrinidae","Gymnocranius","grandoculis",349.74387,1,1799.73304
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Rachycentridae","Rachycentron","canadum",760.57058,1,3187.07182
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Carangidae","Decapterus","spp",209.02588,1,5125.65957
"2019-08_Ningaloo_stereo-BRUVs",1.04,"Carangidae","Decapterus","spp",263.04053,1,4601.03579
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Scaridae","Scarus","ghobban",456.42259,1,3964.29302
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Carangidae","Decapterus","spp",291.20338,1,4318.81585
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Carangidae","Decapterus","spp",279.49697,1,3914.09644
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",345.53045,1,1684.50522
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",229.02643,1,5118.10159
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",284.3515,1,5024.5836
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",319.88487,1,1853.62272
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",315.93871,1,1969.00925
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Serranidae","Epinephelus","areolatus",329.78122,1,1282.00893
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Sparidae","Argyrops","spinifer",301.71962,1,1825.13905
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Sparidae","Argyrops","spinifer",327.25151,1,3251.87126
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Sparidae","Argyrops","spinifer",258.28989,1,3233.56784
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Sparidae","Argyrops","spinifer",293.51715,1,3129.23553
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Carangidae","Carangoides","chrysophrys",409.58634,1,3000.03582
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Serranidae","Epinephelus","areolatus",310.76168,1,1305.93859
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Labridae","Bodianus","solatus",346.02537,1,2137.82181
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Triakidae","Mustelus","ravidus",668.85072,1,2438.36304
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Tetraodontidae","Lagocephalus","lunaris",415.39055,1,1629.13669
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Balistidae","Abalistes","filamentosus",301.74046,1,3704.49579
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Balistidae","Abalistes","filamentosus",314.84974,1,2686.85585
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Synodontidae","Saurida","undosquamis",494.16868,1,1116.23002
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",413.23781,1,1994.4341
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",447.42344,1,1812.15956
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",456.12038,1,3135.81845
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",481.22675,1,1822.19144
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",399.8996,1,3897.11413
"2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Pristipomoides","multidens",413.16865,1,3294.89183
